count,guc,exposure,year,gsi_band,agency_indicator,usage,new_renewal,gender,country_origin,clean_make,cover,driver_age_band,leasing,vehicle_type,veh_age,excess_band,source_of_business,claim_type,gross_claim,claim_count,ultimate_inflated_claims,ncd,ncd_discount,agg_indicator,vehicle_color,business_activity,offset_exposure,offset_total
0,0,0.189041095890411,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,NISSAN,RIYADH,55+,NON-LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.665791,-1.66579084898523
0,0,0.2,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,NISSAN,JEDDAH,35_to_45,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.609438,-1.6094379124341
0,0,0.101369863013699,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,USA,CHEVROLET,JEDDAH,55+,LEASING,Jeeps_4x4,0_to_1,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.28898,-2.28897944093827
0,0,0.183561643835616,2022,200000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,TOYOTA,EASTERN,55+,LEASING,Sedan,0_to_1,1500_to_2000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,LEASING / RENT A CAR,-1.695205,-1.69520473419153
0,0,0.180821917808219,2022,100000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,JEDDAH,35_to_45,NON-LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.710243,-1.71024261155607
0,0,0.16986301369863,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,OTHERS,JEDDAH,35_to_45,LEASING,Sedan,0_to_1,750_to_1000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.772763,-1.7727629685374
0,0,0.0849315068493151,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,WESTERN,25_to_35,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.46591,-2.46591014909735
0,0,0.120547945205479,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,EUROPE,OTHERS,RIYADH,21_to_25,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.115708,-2.11570771966423
0,0,0.158904109589041,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,USA,CHEVROLET,RIYADH,21_to_25,LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-1.839454,-1.83945434303607
0,0,0.104109589041096,2022,100000,AGENCY,PRIVATE CAR,NEW,FEMALE,KOREAN,HYUNDAI,RIYADH,25_to_35,LEASING,Jeeps_4x4,1_to_2,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.262311,-2.26231119385611
1.01754385964912,4446.88328885981,0.131506849315068,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,NORTH,25_to_35,LEASING,Sedan,0_to_1,2500_to_5000,Broker,OD,3969.3,1,4801.98176395595,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.028696,-2.0286963426746
0,0,0.106849315068493,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,HYUNDAI,RIYADH,45_to_55,LEASING,Sedan,1_to_2,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.236336,-2.23633570745285
0,0,0.123287671232877,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,NISSAN,NORTH,35_to_45,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.093235,-2.09323486381217
0,0,0.101369863013699,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,JAPAN,MITSUBISHI,WESTERN,55+,LEASING,Jeeps_4x4,1_to_2,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.28898,-2.28897944093827
0,0,0.104109589041096,2022,50000,AGENCY,PRIVATE CAR,NEW,MALE,INDIAN_AND_CHINESE,OTHERS,JEDDAH,35_to_45,LEASING,Sedan,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.262311,-2.26231119385611
0,0,0.106849315068493,2022,100000,AGENCY,PRIVATE CAR,NEW,MALE,KOREAN,OTHERS,RIYADH,25_to_35,LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.236336,-2.23633570745285
0,0,0.128767123287671,2022,200000,AGENCY,PRIVATE CAR,NEW,MALE,EUROPE,OTHERS,JEDDAH,35_to_45,LEASING,Jeeps_4x4,0_to_1,2500_to_5000,Broker,,0,0,0,NCD_0,0,NON-AGGREGATOR,OTHERS,,-2.04975,-2.04974975187243
